Universal Wait Times
Message - 4
Communication Time: 0.901361
Wait Time: 0
Message - 1
Communication Time: 2.57019
Wait Time: 0.803794
Message - 10
Communication Time: 2.6371
Wait Time: 0.792562
Message - 7
Communication Time: 2.68374
Wait Time: 0.0199656
Message - 3
Communication Time: 3.65059
Wait Time: 0.728513
Message - 2
Communication Time: 4.67891
Wait Time: 1.01371
Message - 8
Communication Time: 5.3361
Wait Time: 2.72836
Message - 5
Communication Time: 5.39
Wait Time: 2.78415
Message - 9
Communication Time: 5.43046
Wait Time: 1.66782
Message - 6
Communication Time: 5.52031
Wait Time: 0.927218
Message - 13
Communication Time: 2.58601
Wait Time: 0.757717
Message - 11
Communication Time: 2.63958
Wait Time: 0
Message - 17
Communication Time: 3.70496
Wait Time: 1.68152
Message - 15
Communication Time: 4.18405
Wait Time: 1.33243
Message - 22
Communication Time: 0.909008
Wait Time: 0.107284
Message - 21
Communication Time: 1.00752
Wait Time: 0
Message - 18
Communication Time: 5.05751
Wait Time: 2.14186
Message - 12
Communication Time: 5.16718
Wait Time: 1.69225
Message - 20
Communication Time: 5.50752
Wait Time: 1.73411
Message - 19
Communication Time: 5.9664
Wait Time: 2.33692
Message - 27
Communication Time: 2.69851
Wait Time: 0.783449
Message - 16
Communication Time: 6.23542
Wait Time: 2.30032
Message - 24
Communication Time: 2.76585
Wait Time: 0.155181
Message - 25
Communication Time: 2.98363
Wait Time: 1.22417
Message - 30
Communication Time: 3.48597
Wait Time: 1.55751
Message - 14
Communication Time: 7.25581
Wait Time: 4.23425
Message - 32
Communication Time: 0.820278
Wait Time: 0
Message - 26
Communication Time: 4.42625
Wait Time: 0.939037
Message - 36
Communication Time: 2.02244
Wait Time: 0.104698
Message - 35
Communication Time: 2.22873
Wait Time: 0.374808
Message - 39
Communication Time: 2.35865
Wait Time: 1.29831
Message - 28
Communication Time: 6.12707
Wait Time: 2.56444
Message - 33
Communication Time: 3.20068
Wait Time: 1.37506
Message - 31
Communication Time: 3.38478
Wait Time: 0.614866
Message - 23
Communication Time: 6.90332
Wait Time: 2.06592
Message - 34
Communication Time: 3.60081
Wait Time: 1.70918
Message - 45
Communication Time: 0.862299
Wait Time: 0
Message - 37
Communication Time: 4.4311
Wait Time: 1.51923
Message - 40
Communication Time: 4.56372
Wait Time: 1.75408
Message - 48
Communication Time: 1.44653
Wait Time: 0.596862
Message - 38
Communication Time: 5.3315
Wait Time: 1.95376
Message - 44
Communication Time: 1.99289
Wait Time: 0.114065
Message - 42
Communication Time: 2.77399
Wait Time: 0.987693
Message - 49
Communication Time: 3.01646
Wait Time: 1.01363
Message - 47
Communication Time: 3.48987
Wait Time: 0.656862
Message - 29
Communication Time: 11.1309
Wait Time: 6.38541
Message - 50
Communication Time: 4.44177
Wait Time: 1.81552
Message - 51
Communication Time: 0.993457
Wait Time: 0
Message - 54
Communication Time: 1.97542
Wait Time: 0.0853423
Message - 46
Communication Time: 5.53741
Wait Time: 1.73421
Message - 60
Communication Time: 2.91887
Wait Time: 0.120337
Message - 55
Communication Time: 3.48991
Wait Time: 0.573229
Message - 52
Communication Time: 3.75333
Wait Time: 0.982286
Message - 41
Communication Time: 7.34365
Wait Time: 2.78084
Message - 59
Communication Time: 4.40449
Wait Time: 0.761416
Message - 58
Communication Time: 4.4392
Wait Time: 0.944393
Message - 53
Communication Time: 4.7148
Wait Time: 1.02692
Message - 57
Communication Time: 5.31142
Wait Time: 2.51491
Message - 43
Communication Time: 9.36759
Wait Time: 2.89224
Message - 66
Communication Time: 2.68144
Wait Time: 0.904485
Message - 65
Communication Time: 2.75785
Wait Time: 0
Message - 62
Communication Time: 3.28465
Wait Time: 0.600004
Message - 56
Communication Time: 6.87981
Wait Time: 3.03222
Message - 63
Communication Time: 3.50012
Wait Time: 0.775741
Message - 64
Communication Time: 4.28269
Wait Time: 1.61749
Message - 78
Communication Time: 0.89044
Wait Time: 0
Message - 68
Communication Time: 5.39058
Wait Time: 2.4362
Message - 79
Communication Time: 2.77465
Wait Time: 1.83839
Message - 69
Communication Time: 6.32317
Wait Time: 2.28801
Message - 70
Communication Time: 6.33829
Wait Time: 3.44351
Message - 67
Communication Time: 7.07745
Wait Time: 2.4749
Message - 77
Communication Time: 3.79145
Wait Time: 0.838849
Message - 71
Communication Time: 3.90526
Wait Time: 1.03456
Message - 85
Communication Time: 0.905066
Wait Time: 0.00179908
Message - 75
Communication Time: 4.48871
Wait Time: 1.83129
Message - 61
Communication Time: 8.98659
Wait Time: 4.25933
Message - 76
Communication Time: 5.57019
Wait Time: 1.90785
Message - 88
Communication Time: 2.9379
Wait Time: 1.06557
Message - 82
Communication Time: 3.07141
Wait Time: 1.19707
Message - 73
Communication Time: 6.69871
Wait Time: 2.02
Message - 74
Communication Time: 7.06575
Wait Time: 3.61738
Message - 83
